0.025       --undefined--          --undefined--        --undefined--         --undefined--         --undefined--  
    0.031       402.99          2103.04        2656.05         3660.06         4527.98  
    0.038       401.70          2099.05        2638.42         3652.84         4427.94  
    0.044       400.53          2081.10        2637.86         3639.66         4369.82  
    0.050       397.98          2063.99        2639.35         3629.85         4284.76  
    0.056       396.40          2060.04        2650.20         3622.20         4213.92  
    0.062       396.47          2063.78        2676.28         3623.74         4271.36  
    0.069       397.55          2061.20        2664.77         3621.14         4371.35  
    0.075       399.30          2063.27        2638.60         3634.77         4412.27  
    0.081       401.08          2079.91        2646.09         3657.69         4462.22  
    0.088       402.20          2095.56        2653.00         3666.07         4494.18  
    0.094       402.43          2097.40        2653.69         3661.87         4545.58  
    0.100       403.77          2097.43        2660.05         3659.35         4656.70  
    0.106       405.69          2092.81        2677.64         3657.04         4749.25  
    0.113       405.64          2081.23        2684.40         3641.58         4795.03  
    0.119       403.32          2073.41        2680.34         3633.82         4805.76  
    0.125       400.47          2070.56        2673.55         3633.70         4726.64  
    0.131       398.84          2061.90        2670.94         3635.24         4623.40  
    0.138       398.74          2051.34        2677.72         3635.87         4515.72  
    0.144       398.33          2050.32        2677.08         3622.16         4437.92  
    
