0.025       --undefined--          --undefined--        --undefined--         --undefined--         --undefined--  
    0.031       309.52          1156.56        2066.38         3025.43         4470.12  
    0.038       599.05          1569.63        2335.71         3449.32         5206.80  
    0.044       587.97          1329.38        2361.51         3771.08         5143.99  
    0.050       598.14          903.34        2412.69         4344.52         5140.45  
    0.056       585.69          663.68        2406.64         4278.64         5149.00  
    0.062       577.67          611.42        2409.80         3740.73         5153.70  
    0.069       291.27          295.21        1515.80         2946.15         4298.22  
    0.075       0          0        600.11         2403.04         3446.34  
    0.081       193.96          279.96        1501.49         2939.76         4280.22  
    0.088       196.80          284.05        1506.47         2960.68         4327.76  
    0.094       0          289.75        1501.83         2782.67         4142.17  
    0.100       0          579.23        2432.89         3085.09         4693.75  
    0.106       0          577.13        2421.47         3170.68         4614.01  
    0.113       0          580.90        2412.34         3205.43         4576.63  
    0.119       0          578.21        2408.78         3101.19         4526.22  
    0.125       0          564.80        2404.56         3099.49         4474.13  
    0.131       0          547.19        2402.12         3088.51         4427.14  
    0.138       0          530.40        2408.53         3043.10         4397.00  
    0.144       0          506.68        2415.96         2721.66         4375.05  
    0.150       234.18          620.10        2429.95         3393.56         4403.46  
    0.156       473.90          727.83        2454.40         4244.87         4401.75  
    0.163       478.72          671.77        2470.68         4081.60         4384.09  
    0.169       468.93          677.28        2473.73         4106.92         4408.01  
    0.175       453.66          718.63        2468.96         4235.40         4399.51  
    0.181       450.17          710.19        2465.38         4258.31         4387.89  
    0.188       466.49          646.68        2465.64         4093.92         4420.34  
    0.194       477.74          596.84        2468.94         3986.51         4458.72  
    0.200       457.99          607.62        2490.59         4032.09         4471.82  
    0.206       458.34          560.54        2524.73         3945.08         4485.45  
    0.213       447.83          515.01        2537.02         3793.70         4480.32  
    0.219       402.14          564.34        2549.83         3869.36         4486.48  
    0.225       374.60          619.46        2551.39         4039.59         4511.30  
    0.231       369.83          637.58        2537.20         4076.48         4504.87  
    0.238       391.40          627.00        2551.27         3929.20         4498.74  
    0.244       410.95          632.21        2557.67         3690.82         4514.46  
    0.250       410.11          652.41        2537.75         3577.46         4538.84  
    0.256       401.42          650.57        2537.33         3642.26         4554.71  
    0.263       387.51          649.99        2551.12         3711.97         4535.21  
    0.269       379.38          654.58        2544.51         3661.13         4513.72  
    0.275       376.50          667.53        2486.97         3495.00         4515.40  
    0.281       378.36          686.65        2413.40         3327.56         4528.39  
    0.288       385.84          698.45        2458.13         3274.10         4488.38  
    0.294       393.49          675.75        2519.64         3181.31         4426.35  
    0.300       383.29          583.92        2497.62         3066.21         4424.86  
    0.306       255.43          470.92        2487.35         3250.08         4494.34  
    0.312       69.86          213.58        1413.40         2989.69         3927.34  
    0.319       0          0        370.56         2422.71         3329.79  
    0.325       0          0        481.19         2333.29         3487.10  
    0.331       133.53          564.42        1556.68         3218.56         4238.53  
    0.338       270.63          1110.37        2585.26         4099.24         4867.66  
    0.344       137.12          545.56        1606.83         3264.20         4444.23  
    
